2025-05-30 13:21:43,965 ERROR [http-nio-63050-exec-4][MediaFilesServiceImpl.java:279] - 检查文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0
2025-05-30 13:21:43,995 ERROR [http-nio-63050-exec-5][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:0
2025-05-30 13:21:44,693 ERROR [http-nio-63050-exec-7][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:1
2025-05-30 13:21:45,312 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:2
2025-05-30 13:21:45,901 ERROR [http-nio-63050-exec-1][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:3
2025-05-30 13:21:46,486 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:4
2025-05-30 13:21:46,896 ERROR [http-nio-63050-exec-5][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:5
2025-05-30 13:21:47,497 ERROR [http-nio-63050-exec-7][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:6
2025-05-30 13:21:47,899 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:7
2025-05-30 13:21:48,491 ERROR [http-nio-63050-exec-1][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:8
2025-05-30 13:21:48,867 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:9
2025-05-30 13:21:49,447 ERROR [http-nio-63050-exec-5][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:10
2025-05-30 13:21:49,823 ERROR [http-nio-63050-exec-7][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:11
2025-05-30 13:21:50,404 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:12
2025-05-30 13:21:50,768 ERROR [http-nio-63050-exec-1][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:13
2025-05-30 13:21:51,358 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:14
2025-05-30 13:21:51,710 ERROR [http-nio-63050-exec-5][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:15
2025-05-30 13:21:52,300 ERROR [http-nio-63050-exec-7][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:16
2025-05-30 13:21:52,677 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:17
2025-05-30 13:21:53,257 ERROR [http-nio-63050-exec-1][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:18
2025-05-30 13:21:53,664 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:19
2025-05-30 13:21:54,245 ERROR [http-nio-63050-exec-5][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:20
2025-05-30 13:21:54,604 ERROR [http-nio-63050-exec-7][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:21
2025-05-30 13:21:55,186 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:22
2025-05-30 13:21:55,542 ERROR [http-nio-63050-exec-1][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:23
2025-05-30 13:21:56,128 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:24
2025-05-30 13:21:56,489 ERROR [http-nio-63050-exec-5][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:25
2025-05-30 13:21:57,070 ERROR [http-nio-63050-exec-7][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:26
2025-05-30 13:21:57,440 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:27
2025-05-30 13:21:58,024 ERROR [http-nio-63050-exec-1][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:28
